grid_id,flood
0,
1,
2,
3,
4,
5,
6,
7,
8,1.0
9,0.9999178158954943
10,0.9996358891530422
11,1.0
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,0.999766620765023
24,0.9893963831661837
25,0.9008661631789936
26,0.9764339943255177
27,0.9976539945488357
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,0.9999833875084181
54,0.9999813626978394
55,1.0
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,1.0
69,0.999773993809057
70,0.9994431718701756
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,0.9955200283618142
84,0.5551302403838453
85,0.778682915051609
86,0.701541977644493
87,0.9848739167348715
88,1.0
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,1.0
110,1.0
111,0.9989425810075042
112,1.0
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,0.9998022534022314
130,0.9999809616948426
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,0.9919734097490435
144,0.363470046403298
145,0.8191863837604032
146,0.768199917268742
147,0.9460778467021133
148,1.0
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,1.0
171,0.9971408738016877
172,1.0
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,1.0
199,1.0
200,
201,
202,
203,0.9747676964483588
204,0.6339870189342846
205,0.7904136388590747
206,0.713198170421954
207,0.9764087365245965
208,1.0
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,0.9982630208038241
231,0.9996831777872813
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,1.0
250,0.9997931671186917
251,
252,
253,
254,
255,
256,
257,0.9987982448984222
258,0.9915526323530126
259,0.9586382125299626
260,0.9974421036116016
261,
262,1.0
263,0.9887380284975791
264,0.6456348758407302
265,0.6925669237487385
266,0.9290339298913222
267,0.9999958897659637
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,1.0
290,0.9986777280712635
291,0.9979868277550662
292,
293,
294,
295,
296,
297,
298,1.0
299,0.9998982532296364
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,1.0
310,1.0
311,
312,
313,
314,
315,
316,1.0
317,0.9928998907188253
318,0.7119141527109015
319,0.40704350321768584
320,0.9713846390216067
321,1.0
322,1.0
323,0.9897796917705374
