grid_id,lat_min,lat_max,lon_min,lon_max
0,6.0,6.5,68.0,68.5
1,6.0,6.5,68.5,69.0
2,6.0,6.5,69.0,69.5
3,6.0,6.5,69.5,70.0
4,6.0,6.5,70.0,70.5
5,6.0,6.5,70.5,71.0
6,6.0,6.5,71.0,71.5
7,6.0,6.5,71.5,72.0
8,6.0,6.5,72.0,72.5
9,6.0,6.5,72.5,73.0
10,6.0,6.5,73.0,73.5
11,6.0,6.5,73.5,74.0
12,6.0,6.5,74.0,74.5
13,6.0,6.5,74.5,75.0
14,6.0,6.5,75.0,75.5
15,6.0,6.5,75.5,76.0
16,6.0,6.5,76.0,76.5
17,6.0,6.5,76.5,77.0
18,6.0,6.5,77.0,77.5
19,6.0,6.5,77.5,78.0
20,6.0,6.5,78.0,78.5
21,6.0,6.5,78.5,79.0
22,6.0,6.5,79.0,79.5
23,6.0,6.5,79.5,80.0
24,6.0,6.5,80.0,80.5
25,6.0,6.5,80.5,81.0
26,6.0,6.5,81.0,81.5
27,6.0,6.5,81.5,82.0
28,6.0,6.5,82.0,82.5
29,6.0,6.5,82.5,83.0
30,6.0,6.5,83.0,83.5
31,6.0,6.5,83.5,84.0
32,6.0,6.5,84.0,84.5
33,6.0,6.5,84.5,85.0
34,6.0,6.5,85.0,85.5
35,6.0,6.5,85.5,86.0
36,6.0,6.5,86.0,86.5
37,6.0,6.5,86.5,87.0
38,6.0,6.5,87.0,87.5
39,6.0,6.5,87.5,88.0
40,6.0,6.5,88.0,88.5
41,6.0,6.5,88.5,89.0
42,6.0,6.5,89.0,89.5
43,6.0,6.5,89.5,90.0
44,6.0,6.5,90.0,90.5
45,6.0,6.5,90.5,91.0
46,6.0,6.5,91.0,91.5
47,6.0,6.5,91.5,92.0
48,6.0,6.5,92.0,92.5
49,6.0,6.5,92.5,93.0
50,6.0,6.5,93.0,93.5
51,6.0,6.5,93.5,94.0
52,6.0,6.5,94.0,94.5
53,6.0,6.5,94.5,95.0
54,6.0,6.5,95.0,95.5
55,6.0,6.5,95.5,96.0
56,6.0,6.5,96.0,96.5
57,6.0,6.5,96.5,97.0
58,6.0,6.5,97.0,97.5
59,6.0,6.5,97.5,98.0
60,6.5,7.0,68.0,68.5
61,6.5,7.0,68.5,69.0
62,6.5,7.0,69.0,69.5
63,6.5,7.0,69.5,70.0
64,6.5,7.0,70.0,70.5
65,6.5,7.0,70.5,71.0
66,6.5,7.0,71.0,71.5
67,6.5,7.0,71.5,72.0
68,6.5,7.0,72.0,72.5
69,6.5,7.0,72.5,73.0
70,6.5,7.0,73.0,73.5
71,6.5,7.0,73.5,74.0
72,6.5,7.0,74.0,74.5
73,6.5,7.0,74.5,75.0
74,6.5,7.0,75.0,75.5
75,6.5,7.0,75.5,76.0
76,6.5,7.0,76.0,76.5
77,6.5,7.0,76.5,77.0
78,6.5,7.0,77.0,77.5
79,6.5,7.0,77.5,78.0
80,6.5,7.0,78.0,78.5
81,6.5,7.0,78.5,79.0
82,6.5,7.0,79.0,79.5
83,6.5,7.0,79.5,80.0
84,6.5,7.0,80.0,80.5
85,6.5,7.0,80.5,81.0
86,6.5,7.0,81.0,81.5
87,6.5,7.0,81.5,82.0
88,6.5,7.0,82.0,82.5
89,6.5,7.0,82.5,83.0
90,6.5,7.0,83.0,83.5
91,6.5,7.0,83.5,84.0
92,6.5,7.0,84.0,84.5
93,6.5,7.0,84.5,85.0
94,6.5,7.0,85.0,85.5
95,6.5,7.0,85.5,86.0
96,6.5,7.0,86.0,86.5
97,6.5,7.0,86.5,87.0
