grid_id,lst
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,29.002167193418337
24,27.811188380811398
25,28.58861446185301
26,30.1466999613488
27,30.038503520035412
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,29.340000000000032
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,30.71985098293858
84,28.152138866882435
85,25.809529680540646
86,29.11127754249072
87,30.345238284275002
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,26.143925675959967
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,29.1148170128586
130,28.663333333333355
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,29.64985714192391
144,28.74008775884327
145,26.39423643419497
146,29.09264286250699
147,30.300500160059276
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,25.8548338253068
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,29.17970148276197
204,29.259658663303757
205,28.499165048583883
206,30.698696961830986
207,31.916625649159247
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,26.28664120186404
231,26.01733528107187
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,28.516078431372573
251,
252,
253,
254,
255,
256,
257,30.626199859903895
258,29.255958337733706
259,35.59844633746608
260,35.293471431749765
261,
262,
263,28.933550287175727
264,29.531147449552407
265,29.048269360689808
266,30.471399380004186
267,31.19952847716064
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,27.364282370500632
291,26.996818074964008
292,
293,
294,
295,
296,
297,
298,
299,26.720000000000027
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,30.019960776604464
318,28.83932359383629
319,37.08923580729805
320,36.86544963004307
321,
322,
323,30.07372946695911
324,29.831219293773053
325,29.289394267735037
326,29.833914449894632
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,26.883846153846207
350,
351,25.64722108843542
352,
353,
354,
355,
356,
357,
358,
